,0
0,-217.1052631578948
1,-227.33918128654977
2,-212.71929824561414
3,-193.71345029239774
4,-198.09941520467845
5,-184.94152046783637
6,-183.47953216374276
7,-228.80116959064333
8,-234.64912280701765
9,-221.49122807017557
