,0
0,15.4
1,15.4
2,15.4
3,15.4
4,15.4
5,15.4
6,15.4
7,15.4
8,15.4
9,15.4
10,15.0
11,15.0
12,14.8
13,14.8
14,16.6
15,18.3
16,18.4
17,15.6
18,15.1
19,15.4
20,20.0
21,19.7
22,19.8
23,20.0
24,14.8
25,15.0
26,15.0
27,15.0
28,17.0
29,16.8
30,17.0
31,16.7
32,15.7
33,15.5
34,15.4
35,15.4
36,15.4
37,15.4
38,19.7
39,14.9
40,15.0
41,15.0
42,15.1
43,16.1
44,16.1
45,16.1
46,16.1
47,16.4
48,16.9
49,17.1
50,15.4
51,14.6
52,14.8
53,14.8
54,14.8
55,15.1
56,15.0
57,15.1
58,15.3
59,15.1
60,15.7
61,15.5
62,15.6
